n,algoritmo,escenario,repeticion,tiempo_ns,comparaciones
1000,Binaria,Centro,27,200,9
1000,Lineal,Centro,28,3900,501
1000,Binaria,Centro,28,200,9
1000,Lineal,Centro,29,3900,501
1000,Binaria,Centro,29,200,9
1000,Lineal,Centro,30,3800,501
1000,Binaria,Centro,30,300,9
1000,Lineal,Final,1,7600,1000
1000,Binaria,Final,1,300,10
1000,Lineal,Final,2,7400,1000
1000,Binaria,Final,2,400,10
1000,Lineal,Final,3,7400,1000
1000,Binaria,Final,3,500,10
1000,Lineal,Final,4,7500,1000
1000,Binaria,Final,4,300,10
1000,Lineal,Final,5,7500,1000
1000,Binaria,Final,5,300,10
1000,Lineal,Final,6,7500,1000
1000,Binaria,Final,6,200,10
1000,Lineal,Final,7,7500,1000
1000,Binaria,Final,7,300,10
1000,Lineal,Final,8,7900,1000
1000,Binaria,Final,8,200,10
1000,Lineal,Final,9,6800,1000
1000,Binaria,Final,9,400,10
1000,Lineal,Final,10,6400,1000
1000,Binaria,Final,10,200,10
1000,Lineal,Final,11,6500,1000
1000,Binaria,Final,11,200,10
1000,Lineal,Final,12,6500,1000
1000,Binaria,Final,12,200,10
1000,Lineal,Final,13,6400,1000
1000,Binaria,Final,13,300,10
1000,Lineal,Final,14,6500,1000
1000,Binaria,Final,14,200,10
1000,Lineal,Final,15,6400,1000
1000,Binaria,Final,15,200,10
1000,Lineal,Final,16,6500,1000
1000,Binaria,Final,16,200,10
1000,Lineal,Final,17,6500,1000
1000,Binaria,Final,17,200,10
1000,Lineal,Final,18,6900,1000
1000,Binaria,Final,18,300,10
1000,Lineal,Final,19,6500,1000
1000,Binaria,Final,19,300,10
1000,Lineal,Final,20,6800,1000
1000,Binaria,Final,20,300,10
1000,Lineal,Final,21,6500,1000
1000,Binaria,Final,21,300,10
1000,Lineal,Final,22,6500,1000
1000,Binaria,Final,22,200,10
1000,Lineal,Final,23,6400,1000
1000,Binaria,Final,23,200,10
1000,Lineal,Final,24,6500,1000
1000,Binaria,Final,24,200,10
1000,Lineal,Final,25,6500,1000
1000,Binaria,Final,25,200,10
1000,Lineal,Final,26,6800,1000
1000,Binaria,Final,26,200,10
1000,Lineal,Final,27,6400,1000
1000,Binaria,Final,27,200,10
1000,Lineal,Final,28,6400,1000
1000,Binaria,Final,28,200,10
1000,Lineal,Final,29,6400,1000
1000,Binaria,Final,29,200,10
1000,Lineal,Final,30,6400,1000
1000,Binaria,Final,30,200,10
1000,Lineal,Ausente,1,6800,1000
1000,Binaria,Ausente,1,300,9
1000,Lineal,Ausente,2,6500,1000
1000,Binaria,Ausente,2,300,9
1000,Lineal,Ausente,3,6900,1000
1000,Binaria,Ausente,3,300,9
1000,Lineal,Ausente,4,6800,1000
1000,Binaria,Ausente,4,300,9
1000,Lineal,Ausente,5,6800,1000
1000,Binaria,Ausente,5,300,9
1000,Lineal,Ausente,6,6500,1000
1000,Binaria,Ausente,6,200,9
1000,Lineal,Ausente,7,6900,1000
1000,Binaria,Ausente,7,300,9
1000,Lineal,Ausente,8,6500,1000
1000,Binaria,Ausente,8,300,9
1000,Lineal,Ausente,9,6400,1000
1000,Binaria,Ausente,9,300,9
1000,Lineal,Ausente,10,6800,1000
1000,Binaria,Ausente,10,300,9
1000,Lineal,Ausente,11,6400,1000
1000,Binaria,Ausente,11,200,9
1000,Lineal,Ausente,12,6500,1000
1000,Binaria,Ausente,12,200,9
1000,Lineal,Ausente,13,6500,1000
1000,Binaria,Ausente,13,200,9
1000,Lineal,Ausente,14,6400,1000
1000,Binaria,Ausente,14,200,9
1000,Lineal,Ausente,15,6500,1000
1000,Binaria,Ausente,15,200,9
1000,Lineal,Ausente,16,6400,1000
1000,Binaria,Ausente,16,200,9
1000,Lineal,Ausente,17,6500,1000
1000,Binaria,Ausente,17,300,9
1000,Lineal,Ausente,18,6500,1000
1000,Binaria,Ausente,18,200,9
1000,Lineal,Ausente,19,6500,1000
1000,Binaria,Ausente,19,200,9
1000,Lineal,Ausente,20,6900,1000
1000,Binaria,Ausente,20,200,9
1000,Lineal,Ausente,21,7000,1000
1000,Binaria,Ausente,21,200,9
1000,Lineal,Ausente,22,6400,1000
1000,Binaria,Ausente,22,200,9
1000,Lineal,Ausente,23,6400,1000
1000,Binaria,Ausente,23,200,9
